country,Poverty,Poverty,Poverty,Poverty,Poverty,Poverty,Fragility,Fragility,Fragility,Fragility,Fragility,Fragility,GNI per capita,GNI per capita,GNI per capita,GNI per capita,GNI per capita,GNI per capita,Region,Region,Region,Region,Region,Region
country,DataType,DataType,DataType,DataType,DataType,DataType,DataType,DataType,DataType,DataType,DataType,DataType,DataType,DataType,DataType,DataType,DataType,DataType,DataType,DataType,DataType,DataType,DataType,DataType
country,2005,2006,2007,2008,2009,2010,2005,2006,2007,2008,2009,2010,2005,2006,2007,2008,2009,2010,2005,2006,2007,2008,2009,2010
Albania,26676.33,18193.56,14669.3,7003.25,5635.31,5872.91,68.6,68.6,70.5,69.7,70,67.1,2967.94,3276.35,3575.61,3959.59,4000,4111.91,ECA,SSA,LAC,SA,ECA,EAP
Algeria,1913612.39,1860845.72,1740309.84,1433543.73,1155284.33,1078693.14,81.2,77.8,75.9,77.8,80.6,81.3,3093.03,3430.28,3862.94,4347.38,4420,4460,MENA,MENA,MENA,MENA,MENA,MENA
Angola,8442962.22,8488202.61,7886864.79,7746398.72,7427138.7,7414572.3,87.3,88.3,84.9,83.8,85,83.7,1501.03,2099.94,2756.2,3398.31,3750,3662.25,SSA,SSA,SSA,SSA,SSA,SSA
Argentina,1742922.14,1393593.74,1163367.13,907024.28,737437.24,761016.76,40.8,40.8,41.4,41.4,44.7,45.8,5071.66,5673.15,6416.95,7306.87,7550,7542.2,ECA,SSA,LAC,SA,ECA,EAP
Bangladesh,76012048.94,74164217.15,71551698.27,66734683.03,62226833.35,57071376.16,94.3,96.3,95.9,100.3,98.1,96.1,500.34,494.75,510.8,530.67,580,604.66,SA,SA,SA,SA,SA,SA
Benin,3893397.01,4332334.86,4364932.23,4504804.45,4533137.83,4895861.26,70.9,70.9,72,72.8,75.5,76.8,625.43,626.69,649.14,714.36,750,747.75,SSA,SSA,SSA,SSA,SSA,SSA
Bhutan,149318.51,155072.14,159409.8,125970.19,119395.67,87541.65,92,87.9,86.4,85.4,87.3,87.3,1387.31,1462.27,1777.17,1836.92,2030,2131.68,SA,SA,SA,SA,SA,SA
Bolivia,1801520.56,1506382.23,1199029.15,1183428.23,1152011.64,1143026.76,82.9,82.9,82,84.2,86.3,84.9,1432.8,1385.3,1266.36,1479.74,1630,1653,LAC,LAC,LAC,LAC,LAC,LAC
